Country,Year,Population,Population_predicted
Faroe Islands,2000,46,47
Faroe Islands,2005,49,49
Faroe Islands,2010,50,50
Faroe Islands,2015,51,51
Faroe Islands,2020,52,53
Federated States of Micronesia,1995,106,94
Federated States of Micronesia,2000,108,100
Federated States of Micronesia,2005,109,106
Federated States of Micronesia,2010,108,112
Federated States of Micronesia,2015,106,118
Federated States of Micronesia,2020,103,124
Fiji,1995,773,752
Fiji,2000,805,798
Fiji,2005,837,843
Fiji,2010,876,888
Fiji,2015,910,934
Fiji,2020,936,979
Finland,1995,5105,5085
Finland,2000,5169,5178
Finland,2005,5239,5271
Finland,2010,5355,5364
Finland,2015,5477,5457
Finland,2020,5572,5550
France,1995,59824,59841
France,2000,61256,61522
France,2005,63060,63204
France,2010,64941,64885
France,2015,66554,66566
France,2020,67849,68247
French Polynesia,1995,217,211
French Polynesia,2000,236,230
French Polynesia,2005,254,248
French Polynesia,2010,269,267
French Polynesia,2015,283,286
French Polynesia,2020,296,305
Gabon,1995,1070,1143
Gabon,2000,1237,1263
Gabon,2005,1396,1384
Gabon,2010,1546,1504
Gabon,2015,1706,1624
Gabon,2020,1877,1744
Gambia,1995,1162,1226
Gambia,2000,1357,1377
Gambia,2005,1548,1529
Gambia,2010,1756,1681
Gambia,2015,1968,1832
Gambia,2020,2174,1984
Georgia,1995,5042,4973
Georgia,2000,4819,5026
Georgia,2005,4791,5078
Georgia,2010,4903,5131
Georgia,2015,4932,5183
Georgia,2020,4931,5235
Germany,1995,81654,80351
Germany,2000,82184,81136
Germany,2005,82440,81921
Germany,2010,81645,82706
Germany,2015,80855,83491
Germany,2020,82983,84276
Ghana,1995,17322,18051
Ghana,2000,18982,19890
Ghana,2005,21107,21728
Ghana,2010,23572,23567
Ghana,2015,26328,25405
Ghana,2020,29341,27244
Gibraltar,1995,27,28
Gibraltar,2000,28,29
Gibraltar,2005,29,29
Gibraltar,2010,29,29
Gibraltar,2015,30,30
Gibraltar,2020,30,30
Greece,1995,10458,10109
Greece,2000,10560,10338
Greece,2005,10669,10567
Greece,2010,10750,10796
Greece,2015,10776,11024
Greece,2020,10743,11253
Greenland,1995,57,54
Greenland,2000,57,56
Greenland,2005,58,58
Greenland,2010,58,60
Greenland,2015,58,62
Greenland,2020,58,64
Grenada,1995,98,100
Grenada,2000,102,102
Grenada,2005,105,104
Grenada,2010,108,105
Grenada,2015,111,107
Grenada,2020,114,109
Guam,1995,145,136
Guam,2000,156,145
Guam,2005,159,154
Guam,2010,160,163
Guam,2015,162,173
Guam,2020,169,182
Guatemala,1995,10028,10288
Guatemala,2000,11086,11297
Guatemala,2005,12183,12306
Guatemala,2010,13551,13315
Guatemala,2015,14919,14324
Guatemala,2020,16265,15333
Guernsey,1995,61,60
Guernsey,2000,62,62
Guernsey,2005,64,64
Guernsey,2010,65,65
Guernsey,2015,67,67
Guernsey,2020,68,69
