Country,Year,Population_actual,Population_predicted
Monaco,2015,31,5521
Monaco,2020,31,5967
Mongolia,1995,2307,6413
Mongolia,2000,2461,6858
Mongolia,2005,2603,7304
Mongolia,2010,2784,7749
Mongolia,2015,2993,8195
Mongolia,2020,3169,8641
Montenegro,1995,671,9086
Montenegro,2000,733,1390
Montenegro,2005,700,1391
Montenegro,2010,667,1392
Montenegro,2015,648,1394
Montenegro,2020,640,1395
Montserrat,1995,11,1396
Montserrat,2000,4,1397
Montserrat,2005,5,1398
Montserrat,2010,6,1399
Montserrat,2015,6,1400
Montserrat,2020,6,1401
Morocco,1995,26148,1402
Morocco,2000,28114,1403
Morocco,2005,29901,885
Morocco,2010,31628,989
Morocco,2015,33323,1092
Morocco,2020,37956,1196
Mozambique,1995,15889,1299
Mozambique,2000,17997,1402
Mozambique,2005,20069,1506
Mozambique,2010,22418,1609
Mozambique,2015,25304,1713
Mozambique,2020,28604,1816
Myanmar,1995,43994,1919
Myanmar,2000,47439,2023
Myanmar,2005,50573,2126
Myanmar,2010,53415,56064
Myanmar,2015,56321,63181
Myanmar,2020,59126,70298
Namibia,1995,1682,77416
Namibia,2000,1894,84533
Namibia,2005,2029,91650
Namibia,2010,2129,98767
Namibia,2015,2213,105885
Namibia,2020,2263,113002
Nauru,1995,10,120119
Nauru,2000,10,127236
Nauru,2005,11,134354
Nauru,2010,10,141471
Nauru,2015,10,45
Nauru,2020,10,46
Nepal,1995,21877,47
Nepal,2000,24819,49
Nepal,2005,27094,50
Nepal,2010,28952,51
Nepal,2015,31552,53
Nepal,2020,34209,54
Netherlands,1995,15477,55
Netherlands,2000,15931,57
Netherlands,2005,16300,58
Netherlands,2010,16574,60
Netherlands,2015,16948,61
Netherlands,2020,17281,87
New Caledonia,1995,192,94
New Caledonia,2000,212,100
New Caledonia,2005,233,106
New Caledonia,2010,253,112
New Caledonia,2015,272,118
New Caledonia,2020,291,124
New Zealand,1995,3643,131
New Zealand,2000,3803,137
New Zealand,2005,4049,143
New Zealand,2010,4253,149
New Zealand,2015,4439,155
New Zealand,2020,4715,161
